Tipo de Delito,Sexo del infractor,Periodo,Total
13 Contra el patrimonio y el orden socioeconómico,Hombres,2020,71.207
13 Contra el patrimonio y el orden socioeconómico,Hombres,2019,98.489
13 Contra el patrimonio y el orden socioeconómico,Hombres,2018,98.667
13 Contra el patrimonio y el orden socioeconómico,Hombres,2017,95.207
13 Contra el patrimonio y el orden socioeconómico,Hombres,2016,86.727
13 Contra el patrimonio y el orden socioeconómico,Hombres,2015,59.272
13 Contra el patrimonio y el orden socioeconómico,Mujeres,2020,28.453
13 Contra el patrimonio y el orden socioeconómico,Mujeres,2019,43.197
13 Contra el patrimonio y el orden socioeconómico,Mujeres,2018,43.759
13 Contra el patrimonio y el orden socioeconómico,Mujeres,2017,41.785
13 Contra el patrimonio y el orden socioeconómico,Mujeres,2016,35.920
13 Contra el patrimonio y el orden socioeconómico,Mujeres,2015,15.518
13.1 Hurtos,Hombres,2020,28.603
13.1 Hurtos,Hombres,2019,41.536
13.1 Hurtos,Hombres,2018,40.401
13.1 Hurtos,Hombres,2017,35.970
13.1 Hurtos,Hombres,2016,31.319
13.1 Hurtos,Hombres,2015,12.617
13.1 Hurtos,Mujeres,2020,18.930
13.1 Hurtos,Mujeres,2019,30.135
13.1 Hurtos,Mujeres,2018,29.701
13.1 Hurtos,Mujeres,2017,27.751
13.1 Hurtos,Mujeres,2016,23.963
13.1 Hurtos,Mujeres,2015,7.994
13.2 Robos,Hombres,2020,16.824
13.2 Robos,Hombres,2019,22.234
13.2 Robos,Hombres,2018,23.765
13.2 Robos,Hombres,2017,25.615
13.2 Robos,Hombres,2016,26.663
13.2 Robos,Hombres,2015,27.486
13.2 Robos,Mujeres,2020,1.325
13.2 Robos,Mujeres,2019,1.770
13.2 Robos,Mujeres,2018,1.991
13.2 Robos,Mujeres,2017,2.098
13.2 Robos,Mujeres,2016,2.095
13.2 Robos,Mujeres,2015,2.013
13.2.1 Robo con violencia,Hombres,2020,5.901
13.2.1 Robo con violencia,Hombres,2019,6.483
13.2.1 Robo con violencia,Hombres,2018,6.407
13.2.1 Robo con violencia,Hombres,2017,6.695
13.2.1 Robo con violencia,Hombres,2016,7.062
13.2.1 Robo con violencia,Hombres,2015,7.331
13.2.1 Robo con violencia,Mujeres,2020,583
13.2.1 Robo con violencia,Mujeres,2019,788
13.2.1 Robo con violencia,Mujeres,2018,856
13.2.1 Robo con violencia,Mujeres,2017,840
13.2.1 Robo con violencia,Mujeres,2016,820
13.2.1 Robo con violencia,Mujeres,2015,856
13.2.2 Robo con fuerza,Hombres,2020,10.923
13.2.2 Robo con fuerza,Hombres,2019,15.751
13.2.2 Robo con fuerza,Hombres,2018,17.358
13.2.2 Robo con fuerza,Hombres,2017,18.920
13.2.2 Robo con fuerza,Hombres,2016,19.601
13.2.2 Robo con fuerza,Hombres,2015,20.155
13.2.2 Robo con fuerza,Mujeres,2020,742
13.2.2 Robo con fuerza,Mujeres,2019,982
13.2.2 Robo con fuerza,Mujeres,2018,1.135
13.2.2 Robo con fuerza,Mujeres,2017,1.258
13.2.2 Robo con fuerza,Mujeres,2016,1.275
13.2.2 Robo con fuerza,Mujeres,2015,1.157
13.4 Robo y hurto de uso de vehículo,Hombres,2020,1.163
13.4 Robo y hurto de uso de vehículo,Hombres,2019,1.644
13.4 Robo y hurto de uso de vehículo,Hombres,2018,1.751
13.4 Robo y hurto de uso de vehículo,Hombres,2017,1.892
13.4 Robo y hurto de uso de vehículo,Hombres,2016,1.849
13.4 Robo y hurto de uso de vehículo,Hombres,2015,1.951
13.4 Robo y hurto de uso de vehículo,Mujeres,2020,52
13.4 Robo y hurto de uso de vehículo,Mujeres,2019,85
13.4 Robo y hurto de uso de vehículo,Mujeres,2018,95
13.4 Robo y hurto de uso de vehículo,Mujeres,2017,83
13.4 Robo y hurto de uso de vehículo,Mujeres,2016,82
13.4 Robo y hurto de uso de vehículo,Mujeres,2015,87
13.5 Usurpación,Hombres,2020,1.621
13.5 Usurpación,Hombres,2019,2.291
13.5 Usurpación,Hombres,2018,2.881
13.5 Usurpación,Hombres,2017,3.232
13.5 Usurpación,Hombres,2016,2.995
13.5 Usurpación,Hombres,2015,1.722
13.5 Usurpación,Mujeres,2020,1.536
13.5 Usurpación,Mujeres,2019,2.396
13.5 Usurpación,Mujeres,2018,3.147
13.5 Usurpación,Mujeres,2017,3.525
13.5 Usurpación,Mujeres,2016,3.137
13.5 Usurpación,Mujeres,2015,1.556
13.6 Defraudaciones,Hombres,2020,13.581
13.6 Defraudaciones,Hombres,2019,17.801
13.6 Defraudaciones,Hombres,2018,16.943
13.6 Defraudaciones,Hombres,2017,16.008
13.6 Defraudaciones,Hombres,2016,13.047
13.6 Defraudaciones,Hombres,2015,7.680
13.6 Defraudaciones,Mujeres,2020,4.631
13.6 Defraudaciones,Mujeres,2019,6.328
13.6 Defraudaciones,Mujeres,2018,6.309
13.6 Defraudaciones,Mujeres,2017,5.945
13.6 Defraudaciones,Mujeres,2016,4.689
13.6 Defraudaciones,Mujeres,2015,2.522
13.6.1 Estafas,Hombres,2020,9.655
13.6.1 Estafas,Hombres,2019,12.758
