Delitos contra el patrimonio y el orden socioeconómico,2020,2019,2018,2017,2016,2015
 Hurtos,,,,,,
    Total,47533,71671,70102,63721,55282,20611
Robos,,,,,,
    Total,18149,24004,25756,27713,28758,29499
Robo y hurto de uso de vehículo,,,,,,
    Total,1215,1729,1846,1975,1931,2038
Usurpación,,,,,,
    Total,3157,4687,6028,6757,6132,3278
Defraudaciones,,,,,,
    Total,18212,24129,23252,21953,17736,10202
Daños,,,,,,
    Total,7609,10252,10037,9694,7838,4854
Receptación y blanqueo de capitales,,,,,,
    Total,2064,2936,3161,3021,3000,2733
Otros delitos contra el patrimonio y orden socioeconómico,,,,,,
    Total,1721,2278,2244,2158,1970,1575
